NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04275947,Chinese Alliance Against Lung Cancer,Shanghai Respiratory Research Institution,Generic,Unknown,450,2020-05-31,China,Recruiting
NCT04320238,Shanghai Jiao Tong University School of Medicine,Not Applicable,Prevention,Phase 3,2944,2020-06-01,China,Recruiting
NCT04365309,Xijing Hospital,Not Applicable,Treatment,Phase 2,128,2020-06-01,China,Unknown
NCT04273763,Second Affiliated Hospital of Wenzhou Medical University,"Wanbangde Pharmaceutical Group Co., LTD",Treatment,Unknown,18,2020-06-01,China,Unknown
NCT04399005,The First Affiliated Hospital of Zhejiang Chinese Medical University,Not Applicable,Other,Unknown,240,2020-06-10,China,Unknown
NCT04410458,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,506517,2020-06-12,China,Unknown
NCT04306705,Tongji Hospital,Hubei Xinhua Hospital,Generic,Unknown,120,2020-06-20,China,Recruiting
NCT04403009,The First Affiliated Hospital of Guangzhou Medical University,Not Applicable,Generic,Unknown,100,2020-06-20,China,Recruiting
NCT04339660,Puren Hospital Affiliated to Wuhan University of Science and Technology,Shanghai University,Treatment,Phase 1,30,2020-06-30,China,Recruiting
NCT04431180,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,403535,2020-06-30,China,Unknown
NCT04568655,The First Affiliated Hospital of Guangzhou Medical University,Not Applicable,Generic,Unknown,23,2020-07-01,China,Unknown
NCT04254874,Tongji Hospital,Not Applicable,Treatment,Phase 4,100,2020-07-01,China,Recruiting
NCT04261270,Tongji Hospital,Not Applicable,Treatment,Phase 3,60,2020-07-01,China,Recruiting
NCT04255017,Tongji Hospital,Not Applicable,Treatment,Phase 4,400,2020-07-01,China,Recruiting
NCT04263402,Tongji Hospital,Not Applicable,Treatment,Phase 4,100,2020-07-01,China,Recruiting
NCT04280588,First Affiliated Hospital of Fujian Medical University,Not Applicable,Treatment,Phase 2,30,2020-07-01,China,Recruiting
NCT04256395,Beijing Tsinghua Chang Gung Hospital,Institute for precision medicine of Tsinghua University,Generic,Unknown,102456,2020-07-01,China,Unknown
NCT04274322,Peking University Third Hospital,"School of Pharmaceutical Sciences, Peking University, Beijing, China",Generic,Unknown,117,2020-07-01,China,Unknown
NCT04330352,Sir Run Run Shaw Hospital,Not Applicable,Treatment,Unknown,1094,2020-07-02,China,Unknown
NCT04288102,Beijing 302 Hospital,Huoshenshan Hospital,Treatment,Phase 2,100,2020-07-09,China,Unknown
NCT04292327,Fujian Provincial Hospital,Not Applicable,Generic,Unknown,400,2020-07-31,China,Unknown
NCT04305106,Qilu Hospital of Shandong University,Renmin Hospital of Wuhan University,Treatment,Unknown,140,2020-07-31,China,Recruiting
NCT04276987,Ruijin Hospital,Shanghai Public Health Clinical Center,Treatment,Phase 1,24,2020-07-31,China,Unknown
NCT04336462,Shanghai Asclepius Meditec Inc.,Shanghai Public Health Clinical Center,Treatment,Unknown,100,2020-08-01,China,Recruiting
NCT04474028,Fuwai Yunnan Cardiovascular Hospital,Not Applicable,Generic,Unknown,5000,2020-08-01,China,Recruiting
NCT04497675,Fuwai Yunnan Cardiovascular Hospital,Not Applicable,Generic,Unknown,10000,2020-08-01,China,Recruiting
NCT04497753,Fuwai Yunnan Cardiovascular Hospital,Not Applicable,Generic,Unknown,10000,2020-08-01,China,Recruiting
NCT04525287,"Second Affiliated Hospital, School of Medicine, Zhejiang University",Not Applicable,Generic,Unknown,1000,2020-08-20,China,Recruiting
NCT04443075,First Affiliated Hospital Xi'an Jiaotong University,Not Applicable,Generic,Unknown,180,2020-08-30,China,Recruiting
NCT04425460,Zhejiang Hisun Pharmaceutical Co. Ltd.,"Opera CRO, a TIGERMED Group Company",Treatment,Phase 3,256,2020-09-01,China,Unknown
NCT04333589,Peking University First Hospital,Not Applicable,Treatment,Unknown,210,2020-09-15,China,Not yet recruiting
NCT04491201,Lei Li,Not Applicable,Generic,Unknown,6000,2020-09-27,China,Recruiting
NCT04324996,Chongqing Public Health Medical Center,"Chongqing Sidemu Biotechnology Technology Co.,Ltd.",Treatment,Phase 1,90,2020-09-30,China,Recruiting
NCT04550312,The First Affiliated Hospital with Nanjing Medical University,Not Applicable,Generic,Unknown,80000,2020-10-01,China,Recruiting
NCT04340414,Peking Union Medical College Hospital,Not Applicable,Treatment,Unknown,10,2020-10-15,China,Recruiting
NCT04304313,Tongji Hospital,Not Applicable,Treatment,Phase 3,10,2020-11-09,China,Recruiting
NCT04533048,"Mabwell (Shanghai) Bioscience Co., Ltd.",Shanghai Public Health Clinical Center,Treatment,Phase 1,42,2020-12-01,China,Unknown
NCT04331613,Chinese Academy of Sciences,Beijing YouAn Hospital,Treatment,Phase 1,9,2020-12-01,China,Recruiting
NCT04334265,Peking University First Hospital,Not Applicable,Treatment,Unknown,750,2020-12-01,China,Not yet recruiting
NCT04311398,Huashan Hospital,Not Applicable,Generic,Unknown,100,2020-12-01,China,Unknown
NCT04346602,Jilin University,Not Applicable,Generic,Unknown,132,2020-12-01,China,Recruiting
NCT04346368,Guangzhou Institute of Respiratory Disease,Guangzhou Eighth People's Hospital,Treatment,Phase 1,20,2020-12-01,China,Unknown
NCT04441918,"Shanghai Junshi Bioscience Co., Ltd.",Not Applicable,Treatment,Phase 1,40,2020-12-11,China,Recruiting
NCT04352608,"Sinovac Research and Development Co., Ltd.",Not Applicable,Prevention,Phase 1,744,2020-12-13,China,Unknown
NCT04280224,Xinxiang medical university,First Affiliated Hospital of Xinjiang Medical University,Treatment,Phase 1,30,2020-12-30,China,Recruiting
NCT04269525,ZhiYong Peng,Tuohua Biological Technology Co. Ltd,Prevention,Phase 2,16,2020-12-30,China,Recruiting
NCT04298814,Tongji Hospital,Not Applicable,Generic,Unknown,0,2020-12-30,China,Unknown
NCT04270383,Beijing Children's Hospital,"Capital Institute of Pediatrics, China",Generic,Unknown,500,2020-12-31,China,Unknown
NCT04279899,Children's Hospital of Fudan University,Not Applicable,Generic,Unknown,100,2020-12-31,China,Recruiting
NCT04245631,Beijing Ditan Hospital,Not Applicable,Generic,Unknown,50,2020-12-31,China,Recruiting
NCT04382534,Peking University Third Hospital,Not Applicable,Generic,Unknown,300,2020-12-31,China,Recruiting
NCT04347369,Xinqiao Hospital of Chongqing,Not Applicable,Generic,Unknown,1000,2020-12-31,China,Recruiting
NCT04292340,Shanghai Public Health Clinical Center,Not Applicable,Generic,Unknown,15,2020-12-31,China,Recruiting
NCT04275245,Tang-Du Hospital,Not Applicable,Treatment,Phase 1,20,2020-12-31,China,Recruiting
NCT04252274,Shanghai Public Health Clinical Center,Not Applicable,Treatment,Phase 3,30,2020-12-31,China,Recruiting
NCT04278963,China Academy of Chinese Medical Sciences,Not Applicable,Treatment,Phase 2,300,2021-01-01,China,Unknown
NCT04341480,Tongji Hospital,Not Applicable,Generic,Unknown,305,2021-01-10,China,Unknown
NCT04483375,Sinocelltech Ltd.,Not Applicable,Treatment,Phase 1,33,2021-01-15,China,Recruiting
NCT04251871,Beijing 302 Hospital,Not Applicable,Treatment,Unknown,150,2021-01-22,China,Recruiting
NCT04341389,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",CanSino Biologics Inc.,Prevention,Phase 2,508,2021-01-31,China,Unknown
NCT04312100,Henan Provincial People's Hospital,Not Applicable,Generic,Unknown,30,2021-02-01,China,Recruiting
NCT04279795,"Third Affiliated Hospital, Sun Yat-Sen University",Not Applicable,Generic,Unknown,20,2021-02-28,China,Recruiting
NCT04279782,"Third Affiliated Hospital, Sun Yat-Sen University",Not Applicable,Generic,Unknown,100,2021-02-28,China,Recruiting
NCT04479644,Brii Biosciences Limited,TSB Therapeutics (Beijing) CO.LTD,Treatment,Phase 1,12,2021-03-01,China,Recruiting
NCT04479631,Brii Biosciences Limited,TSB Therapeutics (Beijing) CO.LTD,Treatment,Phase 1,12,2021-03-01,China,Recruiting
NCT04342702,Second Affiliated Hospital of Wenzhou Medical University,Wenzhou Medical University,Generic,Unknown,504,2021-03-01,China,Unknown
NCT04459637,Peking University First Hospital,Not Applicable,Generic,Unknown,200,2021-03-10,China,Unknown
NCT04336254,Renmin Hospital of Wuhan University,"Beijing SH Bio-Tech Corporation, Beijing (CN)",Treatment,Phase 1,20,2021-03-31,China,Recruiting
NCT04308317,Henan Provincial People's Hospital,Not Applicable,Treatment,Phase 4,60,2021-05-01,China,Unknown
NCT04388631,Tongji Hospital,Not Applicable,Generic,Unknown,200,2021-05-01,China,Recruiting
NCT04383574,"Sinovac Research and Development Co., Ltd.",Not Applicable,Prevention,Phase 1,422,2021-05-30,China,Unknown
NCT04329559,Hepatopancreatobiliary Surgery Institute of Gansu Province,Renmin Hospital of Wuhan University,Generic,Unknown,50,2021-06-29,China,Not yet recruiting
NCT04552366,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Zhongnan Hospital,Prevention,Phase 1,144,2021-06-30,China,Recruiting
NCT04310865,Zhong Wang,Wuhan Leishenshan Hospital,Prevention,Phase 2,116,2021-06-30,China,Unknown
NCT04427735,Beijing Friendship Hospital,Not Applicable,Generic,Unknown,200,2021-07-24,China,Recruiting
NCT04523571,BioNTech RNA Pharmaceuticals GmbH,"Shanghai Fosun Pharmaceutical Development Co, Ltd.",Prevention,Phase 1,144,2021-08-01,China,Recruiting
NCT04530656,Jiangsu Province Centers for Disease Control and Prevention,West China Hospital,Prevention,Phase 1,168,2021-08-28,China,Unknown
NCT04508712,RenJi Hospital,Not Applicable,Generic,Unknown,900,2021-08-31,China,Unknown
NCT04412538,Chinese Academy of Medical Sciences,West China Second University Hospital,Prevention,Phase 1,942,2021-09-01,China,Recruiting
NCT04551547,"Sinovac Research and Development Co., Ltd.",Not Applicable,Prevention,Phase 1,552,2021-09-01,China,Unknown
NCT04445194,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",The Second Affiliated Hospital of Chongqing Medical University,Prevention,Phase 1,50,2021-09-20,China,Recruiting
NCT04568811,Jiangsu Province Centers for Disease Control and Prevention,Not Applicable,Prevention,Phase 1,89,2021-09-27,China,Unknown
NCT04465695,The University of Hong Kong,Not Applicable,Treatment,Phase 2,81,2021-09-30,China,Recruiting
NCT04470609,Chinese Academy of Medical Sciences,West China Second University Hospital,Prevention,Phase 1,471,2021-11-01,China,Unknown
NCT04279197,ShuGuang Hospital,Hubei Hospital of Traditional Chinese Medicine,Treatment,Phase 2,160,2021-12-01,China,Recruiting
NCT04252118,Beijing 302 Hospital,"Innovative Precision Medicine Group (IPM), Hangzhou, China.",Treatment,Phase 1,20,2021-12-01,China,Recruiting
NCT04374084,Guang'anmen Hospital of China Academy of Chinese Medical Sciences,Hubei Hospital of Traditional Chinese Medicine,Treatment,Unknown,60,2021-12-01,China,Recruiting
NCT04368793,China-Japan Friendship Hospital,Wuhan lung Hospital,Generic,Unknown,200,2021-12-31,China,Recruiting
NCT04366024,Xinqiao Hospital of Chongqing,Not Applicable,Generic,Unknown,1000,2021-12-31,China,Recruiting
NCT04544605,Hong Kong Baptist University,The University of Hong Kong,Generic,Unknown,150,2021-12-31,China,Recruiting
NCT04550351,"Anhui Zhifei Longcom Biologic Pharmacy Co., Ltd.",Not Applicable,Prevention,Phase 1,50,2021-12-31,China,Recruiting
NCT04463433,Beijing Normal University,Not Applicable,Prevention,Unknown,300,2022-01-31,China,Recruiting
NCT04273646,"Wuhan Union Hospital, China","Wuhan Hamilton Bio-technology Co., Ltd, China.",Treatment,Unknown,48,2022-02-15,China,Unknown
NCT04518878,Peking University People's Hospital,Not Applicable,Treatment,Phase 1,30,2022-06-01,China,Recruiting
NCT04456101,"Wuhan Union Hospital, China",Not Applicable,Generic,Unknown,240,2022-06-01,China,Recruiting
NCT04399967,The University of Hong Kong,Hong Kong Council on Smoking and Health,Health Services Research,Unknown,842,2022-06-30,China,Recruiting
NCT04516837,Peking University People's Hospital,Not Applicable,Treatment,Phase 2,120,2022-08-01,China,Recruiting
NCT04449588,"Staidson (Beijing) Biopharmaceuticals Co., Ltd",Beijing Defengrui Biotechnology Co. Ltd,Treatment,Phase 2,368,2022-08-07,China,Not yet recruiting
NCT04298060,"Ansun Biopharma, Inc.",Not Applicable,Treatment,Phase 2,280,2022-09-01,China,Unknown
NCT04566770,CanSino Biologics Inc.,Beijing Institute of Biotechnology,Prevention,Phase 2,481,2022-10-20,China,Recruiting
NCT04313127,CanSino Biologics Inc.,"Institute of Biotechnology, Academy of Military Medical Sciences, PLA of China",Prevention,Phase 1,108,2022-12-20,China,Unknown
NCT04371601,Fuzhou General Hospital,Not Applicable,Treatment,Early Phase 1,60,2022-12-31,China,Unknown
NCT04465474,Chinese University of Hong Kong,Peking University First Hospital,Generic,Unknown,3000,2022-12-31,China,Recruiting
NCT04363177,Karolinska Institutet,Swiss National Science Foundation,Prevention,Unknown,300,2023-06-01,China,Unknown
NCT04422457,Beijing Cancer Hospital,Not Applicable,Diagnostic,Unknown,100,2023-06-01,China,Recruiting
NCT04519255,"Fifth Affiliated Hospital, Sun Yat-Sen University",Not Applicable,Generic,Unknown,60,2023-07-31,China,Unknown
NCT04395781,KK Women's and Children's Hospital,King Chulalongkorn Memorial Hospital,Generic,Unknown,2000,2023-12-31,China,Not yet recruiting
NCT04276896,Shenzhen Geno-Immune Medical Institute,Shenzhen Third People's Hospital,Treatment,Phase 1,100,2024-12-31,China,Recruiting
NCT04299724,Shenzhen Geno-Immune Medical Institute,Shenzhen Third People's Hospital,Treatment,Phase 1,100,2024-12-31,China,Recruiting
