NCTId,LeadSponsorName,CollaboratorName,DesignPrimaryPurpose,Phase,EnrollmentCount,CompletionDate,LocationCountry,LocationStatus
NCT04315480,Università Politecnica delle Marche,Azienda Ospedaliera Ospedali Riuniti Marche Nord,Treatment,Phase 2,38,2020-05-01,Italy,Unknown
NCT04338945,Piazza della Vittoria 14 Studio Medico - Ginecologia e Ostetricia,Not Applicable,Generic,Unknown,800,2020-05-01,Italy,Unknown
NCT04355884,The University of Hong Kong,Not Applicable,Generic,Unknown,100,2020-05-01,Hong Kong,Unknown
NCT04407260,Northwell Health,Not Applicable,Generic,Unknown,136,2020-05-01,United States,Unknown
NCT04375410,Vendsyssel Hospital,Aalborg University Hospital,Generic,Unknown,7000,2020-05-01,Denmark,Unknown
NCT04401085,Institute of Health Information and Statistics of the Czech Republic,"Ministry of Health, Czech Republic",Generic,Unknown,27000,2020-05-01,Czechia,Unknown
NCT04352699,Centre Hospitalier Universitaire de Nice,Not Applicable,Generic,Unknown,120,2020-05-01,France,Unknown
NCT04350476,Vivek Reddy,Not Applicable,Screening,Unknown,0,2020-05-01,N.A,Unknown
NCT04346420,Cliniques universitaires Saint-Luc- Université Catholique de Louvain,Not Applicable,Supportive Care,Unknown,12,2020-05-01,Belgium,Unknown
NCT04354441,Sir Mortimer B. Davis - Jewish General Hospital,Not Applicable,Treatment,Phase 2,0,2020-05-01,N.A,Unknown
NCT04374617,Hospital Universitari Vall d'Hebron Research Institute,Not Applicable,Generic,Unknown,230,2020-05-01,Spain,Unknown
NCT04362969,"Hospital San Carlos, Madrid",Universidad Catolica Santiago de Guayaquil,Generic,Unknown,300,2020-05-01,Ecuador,Unknown
NCT04382469,Alexandria University,Not Applicable,Generic,Unknown,48,2020-05-01,Egypt,Unknown
NCT04343690,Duke University,Not Applicable,Other,Unknown,0,2020-05-01,United States,Unknown
NCT04342637,Al-Azhar University,Not Applicable,Generic,Unknown,163,2020-05-01,United States,Unknown
NCT04310228,Peking University First Hospital,Not Applicable,Treatment,Unknown,150,2020-05-01,China,Recruiting
NCT04319016,Federico II University,Not Applicable,Generic,Unknown,200,2020-05-01,Italy,Recruiting
NCT04275414,Qilu Hospital of Shandong University,Renmin Hospital of Wuhan University,Treatment,Phase 2,27,2020-05-02,China,Unknown
NCT04404179,"Services Institute of Medical Sciences, Pakistan",Not Applicable,Generic,Unknown,69,2020-05-02,Pakistan,Unknown
NCT04337047,Wefight,Not Applicable,Generic,Unknown,2000,2020-05-03,France,Unknown
NCT04407663,"University of Campania ""Luigi Vanvitelli""",Not Applicable,Generic,Unknown,138,2020-05-04,Italy,Unknown
NCT04385823,Hôpital Louis Mourier,Not Applicable,Generic,Unknown,62,2020-05-04,France,Unknown
NCT04379245,Hospices Civils de Lyon,Not Applicable,Generic,Unknown,4200,2020-05-04,France,Unknown
NCT04351399,"University Hospital, Lille",Not Applicable,Generic,Unknown,318,2020-05-04,France,Unknown
NCT04334291,IVAN J NUÑEZ GIL,Not Applicable,Generic,Unknown,6000,2020-05-05,Spain,Recruiting
NCT04359316,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 4,40,2020-05-05,"Iran, Islamic Republic of",Unknown
NCT04434157,Hospital Regional de Alta especialidad de Ixtapaluca,Hospital General de México Dr. Eduardo Liceaga,Generic,Unknown,221,2020-05-05,Mexico,Unknown
NCT04383626,Cairo University,Not Applicable,Generic,Unknown,216,2020-05-05,Egypt,Unknown
NCT04359615,Shahid Beheshti University of Medical Sciences,Not Applicable,Treatment,Phase 4,40,2020-05-05,"Iran, Islamic Republic of",Unknown
NCT04537117,Fayoum University,Not Applicable,Generic,Unknown,202,2020-05-05,Egypt,Unknown
NCT04462393,Linkoeping University,Region Östergötland,Generic,Unknown,1563,2020-05-06,Sweden,Unknown
NCT04324684,Catholic University of the Sacred Heart,Not Applicable,Generic,Unknown,198,2020-05-07,Italy,Unknown
NCT04435223,Centre Hospitalier Universitaire Dijon,Not Applicable,Generic,Unknown,62,2020-05-07,France,Unknown
NCT04321421,Foundation IRCCS San Matteo Hospital,OSPEDALE CARLO POMA ASST MANTOVA,Treatment,Unknown,49,2020-05-07,Italy,Unknown
NCT04371848,Laval University,Not Applicable,Generic,Unknown,2465,2020-05-07,Canada,Unknown
NCT04379310,Nisantasi University,Not Applicable,Generic,Unknown,54,2020-05-08,Turkey,Unknown
NCT04322188,A.O. Ospedale Papa Giovanni XXIII,Not Applicable,Generic,Unknown,220,2020-05-08,Italy,Unknown
NCT04378738,Acibadem University,Not Applicable,Health Services Research,Unknown,212,2020-05-08,Turkey,Unknown
NCT04396197,University Hospital Birmingham NHS Foundation Trust,Not Applicable,Generic,Unknown,92,2020-05-08,United Kingdom,Unknown
NCT04344236,NYU Langone Health,Not Applicable,Treatment,Phase 2,48,2020-05-09,United States,Recruiting
NCT04384406,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,467,2020-05-09,France,Unknown
NCT04401371,Cairo University,Not Applicable,Generic,Unknown,418,2020-05-10,Egypt,Unknown
NCT04370886,Guangzhou Blood Center,Not Applicable,Health Services Research,Unknown,456517,2020-05-10,China,Unknown
NCT04323592,University of Trieste,Not Applicable,Generic,Unknown,173,2020-05-10,Italy,Unknown
NCT04440098,University of Miami,Not Applicable,Generic,Unknown,1008,2020-05-11,United States,Unknown
NCT04395833,"University Hospital, Brest",Not Applicable,Generic,Unknown,2500,2020-05-11,France,Unknown
NCT04333849,"University Hospital, Angers",Not Applicable,Generic,Unknown,132,2020-05-11,France,Unknown
NCT04389645,MeMed Diagnostics Ltd.,Not Applicable,Generic,Unknown,52,2020-05-12,Israel,Unknown
NCT04348695,Fundación de investigación HM,Apices Soluciones S.L.,Treatment,Phase 2,94,2020-05-13,Spain,Recruiting
NCT04590352,Radboud University,Not Applicable,Generic,Unknown,187,2020-05-13,Netherlands,Unknown
NCT04367662,"University Hospital, Rouen",Not Applicable,Other,Unknown,99,2020-05-14,France,Unknown
NCT04394000,Jessa Hospital,Not Applicable,Generic,Unknown,72,2020-05-15,Belgium,Unknown
NCT04412031,Hospices Civils de Lyon,Not Applicable,Generic,Unknown,802,2020-05-15,France,Unknown
NCT04395755,Ospedale Policlinico San Martino,Not Applicable,Generic,Unknown,503,2020-05-15,Italy,Unknown
NCT04435119,"University Hospital, Angers",Not Applicable,Generic,Unknown,96,2020-05-15,France,Unknown
NCT04338932,Jessa Hospital,Not Applicable,Generic,Unknown,12,2020-05-15,Belgium,Unknown
NCT04283838,Second Affiliated Hospital of Xi'an Jiaotong University,Not Applicable,Prevention,Unknown,0,2020-05-15,N.A,Unknown
NCT04423003,University Hospital Tuebingen,Not Applicable,Generic,Unknown,10,2020-05-15,Germany,Unknown
NCT04435106,Shaare Zedek Medical Center,Not Applicable,Generic,Unknown,23,2020-05-15,Israel,Unknown
NCT04327674,University of Aarhus,Not Applicable,Generic,Unknown,375,2020-05-15,Denmark,Recruiting
NCT04283825,Second Affiliated Hospital of Xi'an Jiaotong University,Not Applicable,Supportive Care,Unknown,0,2020-05-15,N.A,Unknown
NCT04401241,Centre Hospitalier Princesse Grace,Not Applicable,Generic,Unknown,257,2020-05-15,Monaco,Unknown
NCT04453670,University of Versailles,Not Applicable,Generic,Unknown,7,2020-05-15,France,Unknown
NCT04395300,Assiut University,Not Applicable,Generic,Unknown,143,2020-05-16,Egypt,Unknown
NCT04400006,Marmara University,Not Applicable,Generic,Unknown,71,2020-05-17,Turkey,Unknown
NCT04362345,"University Hospital, Strasbourg, France",Not Applicable,Generic,Unknown,100,2020-05-17,France,Recruiting
NCT04410692,"National University, Singapore",Not Applicable,Other,Unknown,560,2020-05-17,Singapore,Unknown
NCT04423289,Hospital Universitari Vall d'Hebron Research Institute,Not Applicable,Supportive Care,Unknown,150,2020-05-18,Spain,Unknown
NCT04377776,IRCCS San Raffaele,Not Applicable,Generic,Unknown,644,2020-05-18,Italy,Unknown
NCT04394078,Okan University,Yuksek Ihtisas University,Generic,Unknown,543,2020-05-18,Turkey,Unknown
NCT04331470,Fasa University of Medical Sciences,Not Applicable,Treatment,Phase 2,30,2020-05-20,"Iran, Islamic Republic of",Recruiting
NCT04361448,Jessa Hospital,Not Applicable,Diagnostic,Unknown,30,2020-05-20,Belgium,Unknown
NCT04329650,Judit Pich Martínez,Not Applicable,Treatment,Phase 2,200,2020-05-20,Spain,Not yet recruiting
NCT04548544,"University of California, San Francisco",Not Applicable,Basic Science,Unknown,21,2020-05-20,United States,Unknown
NCT04389333,Changhai Hospital,Not Applicable,Prevention,Unknown,40,2020-05-20,China,Unknown
NCT04365608,Lazarski University,Poznan University of Medical Sciences,Treatment,Unknown,90,2020-05-20,Poland,Recruiting
NCT04320017,Groupe Hospitalier Pitie-Salpetriere,Not Applicable,Generic,Unknown,500,2020-05-20,France,Recruiting
NCT04366947,Lazarski University,Poznan University of Medical Sciences,Treatment,Unknown,60,2020-05-20,Poland,Unknown
NCT04407299,Cairo University,Zagazig University,Generic,Unknown,360,2020-05-20,Egypt,Unknown
NCT04402853,Università degli Studi dell'Insubria,Not Applicable,Generic,Unknown,100,2020-05-20,Italy,Unknown
NCT04393077,Istanbul Saglik Bilimleri University,Not Applicable,Supportive Care,Unknown,80,2020-05-20,Turkey,Unknown
NCT04308668,University of Minnesota,McGill University Health Centre/Research Institute of the McGill University Health Centre,Treatment,Phase 3,1309,2020-05-20,United States,Unknown
NCT04280705,National Institute of Allergy and Infectious Diseases (NIAID),Not Applicable,Treatment,Phase 3,1062,2020-05-21,United States,Unknown
NCT04410939,Istanbul Medipol University Hospital,Not Applicable,Generic,Unknown,179,2020-05-21,Turkey,Unknown
NCT04379531,Research and Practical Clinical Center for Diagnostics and Telemedicine Technologies of the Moscow Health Care Department,Not Applicable,Diagnostic,Unknown,230,2020-05-22,Russian Federation,Unknown
NCT04393233,"University Hospital, Brest",Not Applicable,Generic,Unknown,300,2020-05-23,France,Recruiting
NCT04371419,"National Bureau of Economic Research, Inc.",Massachusetts General Hospital,Prevention,Unknown,15475,2020-05-24,United States,Unknown
NCT04437121,University of Thessaly,Not Applicable,Generic,Unknown,397,2020-05-24,Greece,Unknown
NCT04389567,Northwell Health,Cold Spring Harbor Laboratory,Generic,Unknown,10,2020-05-25,United States,Unknown
NCT04376814,Baqiyatallah Medical Sciences University,Not Applicable,Treatment,Unknown,40,2020-05-25,"Iran, Islamic Republic of",Unknown
NCT04317365,Aljazeera Hospital,Not Applicable,Supportive Care,Unknown,200,2020-05-25,Egypt,Unknown
NCT04411056,The Guthrie Clinic,Not Applicable,Other,Unknown,78,2020-05-25,United States,Unknown
NCT04425213,"Central Hospital, Nancy, France",Not Applicable,Generic,Unknown,250,2020-05-26,France,Unknown
NCT04333654,Sanofi,Not Applicable,Treatment,Phase 1,8,2020-05-26,United States,Unknown
NCT04444531,Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta,Not Applicable,Generic,Unknown,18,2020-05-26,Spain,Unknown
NCT04573361,Real Centro Universitario Maria Cristina,Université du Québec à Trois-Rivières,Treatment,Unknown,723,2020-05-27,Spain,Unknown
NCT04441489,Centre Hospitalier Princesse Grace,Not Applicable,Generic,Unknown,13,2020-05-27,Monaco,Unknown
NCT04372199,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Not Applicable,Generic,Unknown,248,2020-05-27,Italy,Recruiting
NCT04522466,Centre Hospitalier Universitaire de Saint Etienne,CHU Saint-Etienne - Laboratoire de Pharmacologie - Toxicologie - Gaz du sang,Treatment,Phase 3,7,2020-05-28,France,Unknown
NCT04409249,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,155,2020-05-28,Turkey,Unknown
NCT04427176,Centre Hospitalier Universitaire de Saint Etienne,Not Applicable,Generic,Unknown,15,2020-05-28,France,Unknown
NCT04425044,Aarogyam UK,University of Warwick,Generic,Unknown,1000,2020-05-28,India,Unknown
NCT04412304,Karolinska Institutet,Not Applicable,Generic,Unknown,166,2020-05-28,Sweden,Unknown
NCT04567927,Chiesa Alessandro Felice,Not Applicable,Generic,Unknown,80,2020-05-28,Switzerland,Unknown
NCT04327531,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,200,2020-05-28,Turkey,Unknown
NCT04344145,Université Libre de Bruxelles,Not Applicable,Generic,Unknown,693,2020-05-29,Belgium,Unknown
NCT04389554,Kanuni Sultan Suleyman Training and Research Hospital,Not Applicable,Generic,Unknown,300,2020-05-29,Turkey,Unknown
NCT04372472,"Cytovale, Inc.",Biomedical Advanced Research and Development Authority,Generic,Unknown,300,2020-05-29,United States,Unknown
NCT04332081,NYU Langone Health,Not Applicable,Treatment,Unknown,20,2020-05-29,United States,Unknown
NCT04346446,"Institute of Liver and Biliary Sciences, India",Not Applicable,Treatment,Phase 2,29,2020-05-30,India,Unknown
NCT04336345,Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,Not Applicable,Generic,Unknown,150,2020-05-30,Mexico,Unknown
NCT04453579,University of Rome Tor Vergata,Not Applicable,Generic,Unknown,116,2020-05-30,Italy,Unknown
NCT04388644,Taipei City Hospital,National Yang Ming University,Generic,Unknown,300,2020-05-30,Taiwan,Recruiting
NCT04364594,Fondazione Policlinico Universitario Agostino Gemelli IRCCS,Not Applicable,Diagnostic,Unknown,50,2020-05-30,Italy,Unknown
NCT04357431,Assiut University,Not Applicable,Generic,Unknown,565,2020-05-30,Egypt,Unknown
NCT04273581,First Affiliated Hospital of Wenzhou Medical University,Second Affiliated Hospital of Wenzhou Medical University,Treatment,Phase 2,40,2020-05-30,N.A,Unknown
NCT04386395,"Central Hospital, Nancy, France",Not Applicable,Generic,Unknown,15,2020-05-30,France,Unknown
NCT04419064,University of Pittsburgh,Kadlec Regional Medical Center,Generic,Unknown,118,2020-05-30,United States,Unknown
NCT04306497,"Jiangsu Famous Medical Technology Co., Ltd.",Not Applicable,Generic,Unknown,340,2020-05-30,China,Unknown
NCT04368312,"University Hospital, Essen",Not Applicable,Generic,Unknown,100,2020-05-30,N.A,Unknown
NCT04587375,"University Hospital, Montpellier",Not Applicable,Generic,Unknown,50,2020-05-30,France,Unknown
NCT04355442,"University Hospital, Montpellier",Unités de CMF des CHU de Paris (Dr Davrou - Pitié salpetrière),Generic,Unknown,300,2020-05-30,France,Unknown
